DKNG,4,tubeturn,0.0,12/30/20
VEEV,5,useebi,0.0,12/30/20
YNDX,3,useebi,0.0,12/30/20
PINS,5,jlexus98,0.0,12/30/20
AT,0,medent,0.0,12/30/20
LMND,5,r1zak,0.0,12/30/20
FUBO,4,richzby11,0.0,12/30/20
CRWD,5,j88bay,0.0,12/30/20
ZM,4,j88bay,0.0,12/30/20
ADSK,5,j88bay,0.0,12/30/20
COUP,4,j88bay,0.0,12/30/20
LMND,5,j88bay,0.0,12/30/20
LVS,2,rharayda,0.0,12/30/20
TTD,5,rharayda,0.0,12/30/20
DDOG,5,rharayda,0.0,12/30/20
HUBS,5,rharayda,0.0,12/30/20
CTRN,0,shacharlavi,0.0,12/30/20
DIS,5,drlandau,0.0,12/30/20
WIX,5,drlandau,0.0,12/30/20
BB,3,drlandau,0.0,12/30/20
QCOM,4,bj64,0.0,12/30/20
ZM,4,robby77,0.0,12/30/20
LMND,5,robby77,0.0,12/30/20
NET,5,robby77,0.0,12/30/20
IDEX,1,drlandau,0.0,12/30/20
ZM,4,drlandau,0.0,12/30/20
SAP,2,olie,0.0,12/30/20
CCL,2,riverwide,0.0,12/30/20
BIGC,4,kanthv,0.0,12/30/20
ADSK,5,cmar,0.0,12/30/20
COUP,4,callie1313,0.0,12/30/20
DM,0,beautifooly,0.0,12/30/20
SAP,2,peter08902,0.0,12/30/20
ZM,4,marcinduxbury,0.0,12/30/20
LMND,5,platonstefkov,0.0,12/30/20
FUBO,4,ricdizzle,0.0,12/30/20
ZM,4,acd,0.0,12/30/20
IMMR,4,adamsbos,0.0,12/30/20
ZM,4,masug,0.0,12/30/20
NET,5,klirenc,0.0,12/30/20
ISRG,5,nilesanomi,0.0,12/30/20
AAPL,4,daddycool,0.0,12/30/20
LMND,5,tale1,0.0,12/30/20
AMD,4,electricmotley,0.0,12/30/20
ZM,4,mindaugas1,0.0,12/30/20
ZNGA,4,tcib,0.0,12/30/20
BABA,4,tcib,0.0,12/30/20
LYG,2,tcib,0.0,12/30/20
PFE,4,huerita71,0.0,12/30/20
SPMD,0,huerita71,0.0,12/30/20
HA,3,huerita71,0.0,12/30/20
AAPL,4,huerita71,0.0,12/30/20
T,2,huerita71,0.0,12/30/20
APHA,2,huerita71,0.0,12/30/20
APPN,5,huerita71,0.0,12/30/20
LLNW,4,huerita71,0.0,12/30/20
ZNGA,4,huerita71,0.0,12/30/20
V,5,curious200,0.0,12/30/20
PINS,5,jimrennie,0.0,12/30/20
ADBE,4,curious200,0.0,12/30/20
WD,5,curious200,0.0,12/30/20
ISRG,5,curious200,0.0,12/30/20
VRTX,4,curious200,0.0,12/30/20
WIX,5,curious200,0.0,12/30/20
INTU,4,curious200,0.0,12/30/20
BMY,4,curious200,0.0,12/30/20
ABBV,5,curious200,0.0,12/30/20
DIS,5,curious200,0.0,12/30/20
IIPR,4,curious200,0.0,12/30/20
GOOG,4,curious200,0.0,12/30/20
MSFT,4,curious200,0.0,12/30/20
NKE,4,curious200,0.0,12/30/20
CMG,3,curious200,0.0,12/30/20
SIVB,4,curious200,0.0,12/30/20
PAYC,5,curious200,0.0,12/30/20
FB,4,curious200,0.0,12/30/20
TEAM,5,curious200,0.0,12/30/20
DXCM,5,curious200,0.0,12/30/20
JD,5,curious200,0.0,12/30/20
PYPL,5,curious200,0.0,12/30/20
TDOC,5,curious200,0.0,12/30/20
FLGT,5,curious200,0.0,12/30/20
KNSL,4,curious200,0.0,12/30/20
TTD,5,curious200,0.0,12/30/20
OKTA,5,curious200,0.0,12/30/20
SHOP,4,curious200,0.0,12/30/20
MELI,5,curious200,0.0,12/30/20
CRSP,4,curious200,0.0,12/30/20
NVTA,4,curious200,0.0,12/30/20
PACB,3,curious200,0.0,12/30/20
TWLO,5,curious200,0.0,12/30/20
MGNI,5,curious200,0.0,12/30/20
RNG,4,curious200,0.0,12/30/20
APPN,5,curious200,0.0,12/30/20
FUBO,4,fahad971,0.0,12/30/20
LMND,5,klky87,0.0,12/30/20
T,2,abhilonline,0.0,12/30/20
NIO,2,kashani1978,0.0,12/30/20
AAPL,4,foolsuggestions,0.0,12/30/20
RH,3,abhilonline,0.0,12/30/20
SONO,5,abhilonline,0.0,12/30/20
HD,4,abhilonline,0.0,12/30/20
LOW,4,abhilonline,0.0,12/30/20
AMZN,4,abhilonline,0.0,12/30/20
TWTR,3,abhilonline,0.0,12/30/20
AAPL,4,abhilonline,0.0,12/30/20
DIS,5,abhilonline,0.0,12/30/20
SHOP,4,abhilonline,0.0,12/30/20
FB,4,abhilonline,0.0,12/30/20
CCS,0,abhilonline,0.0,12/30/20
WMT,3,abhilonline,0.0,12/30/20
SQ,5,abhilonline,0.0,12/30/20
ACI,5,tediousrhombus,0.0,12/30/20
